,food_aspect,service_aspect,ambience_aspect
3345,ice coffee,due to heavy crowds,small and cosy
3346,Nice Halal food,,
3347,'Loved their Mediterranean breakfast.Def going back for more.Though the French toast was not up to the mark.',,
3348,"egg benedict, beautifully presented, tasted just as good as it looked, eggs, menu, dishes,",,
3349,,It seems that you can't enter without a reservation,It is a stylish cafe.
3350,"flavorful cup of coffee, really delicious mini carrot cake, mini loaf covered in cream cheese frosting",,
3351,"Ordered Moroccan Baked Eggs and Home-made Beef Burger. It was so delicious. The sauce from the Moroccan Baked Eggs was so nice paired with Sourdough. The burger had a cheese skirt, so delicious and the beef was juicy.",,
3352,,"NA, amb: 'Love th",'Love the ambience'
3353,Love love love the food,"Staff were helpful and friendly!, amb: an",and ambience!
3354,,"waited for 40 mins, staff forgot to input our order, making payment, added an espresso, didn't order any drink, lol",
3355,,Service was slow even on a weekday. Tables after us received their food but we were told the kitchen was busy with orders which is not true as they obviously forgot to input our order.,
3356,'Ordered muddy espresso but not impressed since it is just a ice latte. It’s alright. Price is average high range. Food is okay.',,
3357,Best iced oat latte tested in Singapore,super friendly service,Great decor
3358,'delicious','quite crowded',
3359,Good food,great service,
3360,"egg benedict turkey ham, builders breakfast, truffle fries,",,
3361,"Quite variety of food for brunch and breakfast, Reasonable price and portion can share for 2 or 3 pax",,Very nice simple place to have peaceful meal
3362,"unique dishes, beautiful presentation, decent breakfast/brunch, choice of drinks,","hospitable staffs,",
3363,Had a lovely eggs benedict breakfast,Service was good and the staff was pleasant and pretty efficient,"Place was nicely located, Didn't like how they placed their lights as it was glaring into our faces like a spot light, Lots of street parking outside so quite easy and convenient."
3364,great coffee and unique food,Service is excellent and warm,
3365,,prompt service,"nice vibes, beautifully designed"
3366,NA ,'Service is outrageously subpar - they FORGOT to input my order' ,'New outlet is nothing like the old one'
3367,Ordered eggs ben and the hollandaise sauce (which used to taste so good) is now subpar at best.,Lost a loyal customer,Also don’t understand the interior. The seats towards the back close to the “open” kitchen is very dark and weird.
3368,,"No customer service, Went here for birthday lunch but left because of such service, Not recommended",
3369,"Fantastic coffee, French toast was amazing,","Staff are lovely,",Beautiful cafe
3370,"""Both signatures of French toast & crab meat omelette were very disappointing. Don’t order ice mocha. Food was bad""",,"""place is very warm, feels like the aircondition is not working"""
3371,'Food was average','The service crew is really attentive and friendly','the cafe itself is nice to sit with friends for an hour or two'
3372,,super friendly and kind staff,"lovely place, interior was organic and had such a warm vibe"
3373,The food is awesome!!,Lovely experience so far.,
3374,no parts of text,no parts of text,"Being assigned to a table at the end of the restaurant, The lighting was bad, no window, Seated under the ventilation beam, Right beside us was the open kitchen, The table and seatings were narrow, The stoney uneven floor"
3375,"simple toast, large “builders breakfast”, great value for money,","great, relaxed atmosphere","lovely breakfast, great coffee, relaxed atmosphere"
3376,,service has been horrendously bad,
3377,'the food was amazing','the staff so friendly and helpful 10/10',
3378,From food ,"Fantastic welcoming service by the staff, service, Thanks for serving us ","decor and service, am in love"
3379,Coffee wasn’t too bad,Was just a tad bit baffled it wasn’t full,
3380,,Penny University confirmed my reservation a week ago,
3381,fantastic brunch ,none ,clean and beautiful minimalist design
3382,"Food took 45 minutes to arrive, when all we ordered was ONE eggs Benedict (2-3 pieces of smoked salmon, half avo, one piece of bread, 2 poached eggs, beetroot hollandaise sauce)",Service was bad,
3383,coffee and food is as good as I remember,,"clean, interesting new decor"
3384,simple slices of bread,Staff not friendly and service far to slow ! 30 min,No other drinks than coffee or tea
3385,,understand coffee,
3386,"Excellent espresso, served at the right temperature (can be drunk straight away) with nary a hint of bitterness and sourness. Smooth and creamy. Perfect",,
3387,'Good food','Staff is well informed and extremely kind And cooperative! Good service!','Best coffee ever!!! I come here almost every week.'
3388,nicest muddy espresso,,nicest muddy espresso
3389,"poached eggs is poorly done, sausage is not nice, bacon is not... ",,
3390,The dishes are well crafted and balance,,
3391,'Loved the food there. Everything was just perfect.','Awesome place! Awesome service!' ,"'Glad I got there a little early and got a table without wait. Have heard great feedback from friends, finally got to try it and it was worth it.'"
3392,good quality food,,
3393,"Not too bad, missus loved it",,
3394,Good for brunch.,Nice setting.,hard to find a parking spot.
3395,Awesome place for brunch and coffee.,,
3396,"'carrot cake is moist and not too sweet, muddy espresso was good too'",'cutleries weren’t the cleanest',
3397,'Food is so so',"'The service was great', amb: 'Th",'The ambience was amazing'
3398,,Exceptionally good,
3399,'Enjoyed a good brunch here','Very happy',
3400,,booking system online is useless - cancelled booking without informing customers via e mail! Next booking accepted but no availability when  - we went there. Rude staff.,explanation by owner who was...
3401,,,
3402,"""find the food unappetising"" ",NA ,
3403,"'super yummy', 'Jaffa coffee', 'hint of orange' ",'friendly warm staff','cozy place'
3404,great coffee,humble staff,great vibe
3405,none,"'Bad experience for a birthday lunch, made a reservation for 2 to have a quieter spot but seemed like they forgot about the reservation and gave us a spot right smack in the middle of the cafe where all diners and staffs kept moving back and...'",none
3406,,"Wonderful service, My 1st impression, Not hi tech, but truly hi touch, So relieved it didn't have the typical scan your menu & order which is absolutely robotic, The staff talk to their customers",
3407,"Coffees and Cold brew is reliable, french toast is perfect, Menu evolving over time, Highly recommend,",,
3408,"Eggs Benedict with perfectly cooked poached eggs, matcha latte, butterbeer with a maple foam, S$22 per person with a main and a drink  ",helpful staff ,crowded
3409,"The food was excellent, the portions were generous, and the flavors were bold and delicious. ",The service was friendly and attentive. ,The atmosphere was cozy and inviting.
3410,"Avocado was great, toast was nicely toasted and the eggs is da bomb ","Great cafe 👏, will consider going for their cafe workshop ",
3411,,"Closes at 6pm, so take note!",
3412,'We had an amazing Basque cheesecake here!','',''
3413,good coffee fix,"upon entry to the cafe, saw a table near the counter by the wall with no chairs",cafe lounging
3414,Chocolate orange mocha,,
3415,hot chocolate,Everything came packed and proper with no spillage,
3416,"'good cup of coffee', 'delicious brunch menu'",,'Nice place'
3417,The hot lattee and cold brew was nice,,Quite a nice place to chill out
3418,egg in the eggs benedict,,
3419,"refreshing water with fruits, Burnt cheesecake was also good ",friendly,convenient chairs and some more space between tables
3420,delicious ,excellent ,"quaint, cozy"
3421,"Food taste awful, Coffee came lukewarm, Took too long for food to be serve,","Bad customer service,",
3422,"'it was alright', 'good reviews', 'not bad, not great', 'above average'","'maybe my expectations were elevated due to the good reviews', 'that would discourage future visits'",'parking was atrocious'
3423,"Out of stock of a lot of menu items and the food was very average, Ice chocolate was just out of a bottle! ",staff didn’t seem to know much about what they have available. ,"Not sure if this place has recently changed hands but really did not enjoy our recent visit, seems to have gone downhill. "
3424,,,
3425,"Great food, sumptuous brunch, good food options, hearty portions,","fantastic service, family friendly,","Kids, friends and family friendly place, hangout, breakfast, brunch or dinner"
3426,refused to serve me food,didn't really seem to care nor didn't feel the need to apologize. Poor service it seems.,
3427,breakfast is ok and decent portion. Love their Turkish egg..the combination of Greek yogurt and Moroccan spice is refreshing to taste buds,"friendly staff, amb: Coz",Cozy ambience
3428,"eggplant, mackerel steak, hummous, regular menu, African fare, Hari Raya,", none,none
3429,'dry and poor ham and cheese croissant',,
3430,'amazing food',"'friendly servers', amb: 'grea",'great ambience'
3431,"lemonade with a shot of coffee, interesting flavor ","Extremely good service, staff were friendly and pleasent ",
3432,good dishes,friendly service,
3433,'breakfast sets are really good value' ,NA ,
3434,"Good food, coffee ",good service ,Parking space nearby is limited though.
3435,"Small portion, overpriced. ",Unfriendly service. ,
3436,,"Really disappointing experience with regards to reservations. They don't confirm reservations until last moment. Calling them is no use as they will just tell you that if it is confirmed, you'll get an email.",
3437,"Hearty Full English Breakfast, cuppa iced coffee, cakes and pastries, delicious,","welcoming staff,  amb: coo",cool ambience
3438,Cake and coffee are delicious,,
3439,"Eggs Benedict and English breakfast, brioche over sourdough, signature muddy espresso, iced latte",,
